,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
0,dc9b9f80-c3a0-52a4-8490-5cde7685b583dc9b9f80-c3a0-52a4-8490-5cde7685b583,dc9b9f80-c3a0-52a4-8490-5cde7685b583,6e9f521d-7ba7-4741-8e5c-7433e18b3547,7433e18b3547,1,Nike SuperRep Cycle 2 Next Nature,Indoor Cycling Shoes,cycling,FOOTWEAR,USD,130,130.0,False,Black/Anthracite/Volt/White,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.9,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-indoor-cycling-shoes-fNRjQJ/DH3396-001,dc9b9f80-c3a0-52a4-8490-5cde7685b583,Black/Anthracite/Volt/White,130,130.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0dc78702-2238-4e64-a752-6f0f27dbe8e9/image.jpg"
1,dc9b9f80-c3a0-52a4-8490-5cde7685b583c7b99681-10be-523d-a218-780ada61af22,dc9b9f80-c3a0-52a4-8490-5cde7685b583,6e9f521d-7ba7-4741-8e5c-7433e18b3547,7433e18b3547,2,Nike SuperRep Cycle 2 Next Nature,Indoor Cycling Shoes,cycling,FOOTWEAR,USD,130,130.0,False,Black/Anthracite/Volt/White,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.9,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-indoor-cycling-shoes-fNRjQJ/DH3396-001,c7b99681-10be-523d-a218-780ada61af22,Picante Red/Laser Orange/Opti Yellow/Bright Cactus,120,95.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e577be45-3a19-4bce-9bab-0f6257d470ba/image.jpg"
2,b48c6d67-c31d-57d6-a99a-75e697b896c9b48c6d67-c31d-57d6-a99a-75e697b896c9,b48c6d67-c31d-57d6-a99a-75e697b896c9,3ba0f9cb-7f09-4cc5-ba04-43ce22d39605,43ce22d39605,1,Nike SuperRep Cycle 2 Next Nature,Women's Cycling Shoes,cycling,FOOTWEAR,USD,120,90.97,True,Sail/Rush Fuchsia/Violet Dust,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-womens-cycling-shoes-cqGbFr/DH3395-102,b48c6d67-c31d-57d6-a99a-75e697b896c9,Sail/Rush Fuchsia/Violet Dust,120,90.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c41bb455-09fc-4075-9492-6c1dcbe8ba97/image.jpg"
3,b48c6d67-c31d-57d6-a99a-75e697b896c92237c3ab-9108-5cf3-9074-25829c55dda3,b48c6d67-c31d-57d6-a99a-75e697b896c9,3ba0f9cb-7f09-4cc5-ba04-43ce22d39605,43ce22d39605,2,Nike SuperRep Cycle 2 Next Nature,Women's Cycling Shoes,cycling,FOOTWEAR,USD,120,90.97,True,Sail/Rush Fuchsia/Violet Dust,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-womens-cycling-shoes-cqGbFr/DH3395-102,2237c3ab-9108-5cf3-9074-25829c55dda3,Vivid Orange/Bright Cactus/Picante Red/Opti Yellow,120,90.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/bef02161-9478-412b-a6de-57716453ce05/image.jpg"
4,b48c6d67-c31d-57d6-a99a-75e697b896c9db588dcb-7ce3-5584-a038-20069691dc68,b48c6d67-c31d-57d6-a99a-75e697b896c9,3ba0f9cb-7f09-4cc5-ba04-43ce22d39605,43ce22d39605,3,Nike SuperRep Cycle 2 Next Nature,Women's Cycling Shoes,cycling,FOOTWEAR,USD,120,90.97,True,Sail/Rush Fuchsia/Violet Dust,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-womens-cycling-shoes-cqGbFr/DH3395-102,db588dcb-7ce3-5584-a038-20069691dc68,Purple Smoke/Black/Metallic Copper/Metallic Gold,120,78.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/9dafa1c6-27b2-41ae-a0fc-953696b13583/image.jpg"
5,b48c6d67-c31d-57d6-a99a-75e697b896c982156fab-51f4-51ca-b136-be5578e7ce64,b48c6d67-c31d-57d6-a99a-75e697b896c9,3ba0f9cb-7f09-4cc5-ba04-43ce22d39605,43ce22d39605,4,Nike SuperRep Cycle 2 Next Nature,Women's Cycling Shoes,cycling,FOOTWEAR,USD,120,90.97,True,Sail/Rush Fuchsia/Violet Dust,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-womens-cycling-shoes-cqGbFr/DH3395-102,82156fab-51f4-51ca-b136-be5578e7ce64,White/Picante Red/Black,120,78.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e1d894de-df5a-4b7c-97f2-67afe110ba7d/image.jpg"
6,b48c6d67-c31d-57d6-a99a-75e697b896c9a39e554f-c501-5ca3-8688-7c4be1141ede,b48c6d67-c31d-57d6-a99a-75e697b896c9,3ba0f9cb-7f09-4cc5-ba04-43ce22d39605,43ce22d39605,5,Nike SuperRep Cycle 2 Next Nature,Women's Cycling Shoes,cycling,FOOTWEAR,USD,120,90.97,True,Sail/Rush Fuchsia/Violet Dust,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-womens-cycling-shoes-cqGbFr/DH3395-102,a39e554f-c501-5ca3-8688-7c4be1141ede,White/Mint Foam/Laser Blue/Black,120,78.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cdb14a51-6641-498e-9959-46422a2568f0/image.jpg"
7,b48c6d67-c31d-57d6-a99a-75e697b896c91979e057-085c-5287-95f8-1a7961c14677,b48c6d67-c31d-57d6-a99a-75e697b896c9,3ba0f9cb-7f09-4cc5-ba04-43ce22d39605,43ce22d39605,6,Nike SuperRep Cycle 2 Next Nature,Women's Cycling Shoes,cycling,FOOTWEAR,USD,120,90.97,True,Sail/Rush Fuchsia/Violet Dust,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-cycle-2-next-nature-womens-cycling-shoes-cqGbFr/DH3395-102,1979e057-085c-5287-95f8-1a7961c14677,Blackened Blue/White,120,72.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/60d71fd1-371a-4493-ad56-0904b0977e48/image.jpg"
8,88b8df6f-f2ef-5f79-9148-01672fec36eb88b8df6f-f2ef-5f79-9148-01672fec36eb,88b8df6f-f2ef-5f79-9148-01672fec36eb,057ad9d1-fe52-43fc-8e42-3165b7c597f7,3165b7c597f7,1,"Air Jordan 13 ""Wheat""",Men's Shoes,jordan,FOOTWEAR,USD,200,200.0,False,White/Wheat,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","Celebrate 25 years of the AJ13 with a colorway bring-back. Dimpled full-grain White leather gets a soft, synthetic Wheat suede treatment for a boost of elegance. Capping it off, the green cat's eye emblem on the heel and panther paw-inspired outsole honor MJ's slick ""Black Cat"" alter ego.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-13-wheat-mens-shoes-zp4pp0/414571-171,88b8df6f-f2ef-5f79-9148-01672fec36eb,White/Wheat,200,200.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5a55b7ab-7644-4de2-851f-7639b00ee98f/image.jpg"
9,df6cefa7-649c-5ae2-a887-54ec459d43f1df6cefa7-649c-5ae2-a887-54ec459d43f1,df6cefa7-649c-5ae2-a887-54ec459d43f1,cb59b0ce-1c41-4c63-8b4f-030b2ea0fd7a,030b2ea0fd7a,1,Air Jordan 13 Retro,Big Kids' Shoes,jordan,FOOTWEAR,USD,160,160.0,False,White/Wheat,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","The Air Jordan 13 Retro has been a longtime favorite among fans and collectors. It's got the recognizable side panels, a holographic logo, plus the outsole that resembles a panther's paw. Comfortable cushioning and a mix of leather, synthetic and textile materials in the upper give it a fresh look and feel.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-13-retro-big-kids-shoes-SD01LL/DJ3003-171,df6cefa7-649c-5ae2-a887-54ec459d43f1,White/Wheat,160,160.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a93ae7ce-7b40-4017-9b7d-495f29939f86/image.jpg"
