UID,currency,sales,quantity,year,month
b48c6d67-c31d-57d6-a99a-75e697b896c9b48c6d67-c31d-57d6-a99a-75e697b896c9,USD,454.85,5,2023,11
b48c6d67-c31d-57d6-a99a-75e697b896c92237c3ab-9108-5cf3-9074-25829c55dda3,USD,272.90999999999997,3,2023,11
b48c6d67-c31d-57d6-a99a-75e697b896c9db588dcb-7ce3-5584-a038-20069691dc68,USD,181.94,2,2023,11
cb99a190-8320-57e5-8740-205024b05c87cb99a190-8320-57e5-8740-205024b05c87,USD,255.0,3,2023,11
0985e507-2bcf-50f2-bd1e-b33ffef0330d0985e507-2bcf-50f2-bd1e-b33ffef0330d,USD,185.0,1,2023,11
f00fe7db-7aa1-5bf4-b81d-778e2bc41635f00fe7db-7aa1-5bf4-b81d-778e2bc41635,USD,1050.0,5,2023,11
f00fe7db-7aa1-5bf4-b81d-778e2bc41635f00fe7db-7aa1-5bf4-b81d-778e2bc41635,USD,630.0,3,2023,11
d222955c-2b88-5099-8975-cfe7bfc54c3dd222955c-2b88-5099-8975-cfe7bfc54c3d,USD,135.0,1,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d85a2e67f0-39d2-595c-8e52-a2835ed2a7d8,USD,650.0,5,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8908c2708-83c8-5a31-8fe9-280a70e77361,USD,390.0,3,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8dc1ebb1b-60c3-547e-a508-a08863d80518,USD,130.0,1,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d85ce50274-a5ac-5158-b137-f9c31ee7d2ad,USD,650.0,5,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d85ce50274-a5ac-5158-b137-f9c31ee7d2ad,USD,520.0,4,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8a5af0d29-a87e-52d8-8fe3-7544d2e0962e,USD,650.0,5,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8a5af0d29-a87e-52d8-8fe3-7544d2e0962e,USD,650.0,5,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d87e25bbe3-7ae6-5570-85e1-5ddd3672a0dc,USD,390.0,3,2023,11
0d27552b-a8e7-5c53-8998-8103775579c80d27552b-a8e7-5c53-8998-8103775579c8,USD,160.0,1,2023,11
0d27552b-a8e7-5c53-8998-8103775579c80d27552b-a8e7-5c53-8998-8103775579c8,USD,320.0,2,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8bc19cc33-507d-536a-8e55-641d46eadbee,USD,320.0,2,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8bc19cc33-507d-536a-8e55-641d46eadbee,USD,320.0,2,2023,11
0d27552b-a8e7-5c53-8998-8103775579c83156e681-ec4d-50dd-b5ec-58d6ef0f9805,USD,800.0,5,2023,11
0d27552b-a8e7-5c53-8998-8103775579c83156e681-ec4d-50dd-b5ec-58d6ef0f9805,USD,480.0,3,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8e1f21bed-d00d-5494-ba29-528897ad1409,USD,160.0,1,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8e1f21bed-d00d-5494-ba29-528897ad1409,USD,480.0,3,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8df2456a4-2c31-5ef8-9b01-952b852818ba,USD,480.0,3,2023,11
0d27552b-a8e7-5c53-8998-8103775579c83ae882d8-a6b9-5dde-aca1-85be7f93e08c,USD,480.0,3,2023,11
0d27552b-a8e7-5c53-8998-8103775579c83ae882d8-a6b9-5dde-aca1-85be7f93e08c,USD,480.0,3,2023,11
515a7027-7c8f-5d12-a1c7-bca9759e83dced032358-ec88-50cd-81e7-4be078ab5b88,USD,420.0,4,2023,11
515a7027-7c8f-5d12-a1c7-bca9759e83dc8938757d-db8e-5cde-8ddd-4de277e33bde,USD,105.0,1,2023,11
